"","S1","S2","S3","S4","S5","S6","S7","S8","S9","S10","S11","S12","S13","S14","S15","S16","S17","S18","S19","S20","S21","S22","S23","S24","S25","S26","S27","S28","S29","S30","S31","S32","S33","S34","S35","S36","S37","S38","S39","S40","S41","S42","S43","S44","S45","S46","S47","S48","S49","S50","S51","S52","S53","S54","S55","S56","S57","S58","S59","S60","S61","S62","S63","S64","S65","S66","S67","S68","S69","S70","S71","S72","S73","S74","S75","S76","S77","S78","S79","S80","S81","S82","S83","S84","S85","S86","S87","S88","S89","S90","S91","S92","S93","S94","S95","S96","S97","S98","S99","S100","S101","S102","S103","S104","S105","S106","S107","S108","S109","S110","S111","S112","S113","S114","S115","S116","S117","S118","S119","S120","S121","S122","S123","S124","S125","S126","S127","S128","S129","S130","S131","S132","S133","S134","S135","S136","S137","S138","S139","S140","S141","S142","S143","S144","S145","S146","S147","S148","S149","S150","S151","S152","S153","S154","S155","S156","S157","S158","S159","S160","S161","S162","S163","S164","S165","S166","S167","S168","S169","S170","S171","S172","S173","S174","S175","S176","S177","S178","S179","S180","S181","S182","S183","S184","S185","S186","S187","S188","S189","S190","S191","S192","S193","S194","S195","S196","S197","S198","S199","S200"
"BI_COMPOSITE_SBS78_S",0,0,0,18066.9572863159,0,68835.4193584664,44743.0666813209,17470.2338579374,209393.573017839,7713.89475500198,0,0,8711.54980141266,23848.5834558246,3158.6312223062,77992.5927183062,0,13272.4764265428,0,33723.4048406221,0,14666.6235005093,202144.092206408,0,0,23999.0489477189,26731.2914404594,0,0,0,0,0,41562.5800414522,22703.8797595678,0,10422.8678934567,25289.1189649135,10366.8740186695,2992.04976169037,50606.4626697136,0,77603.452105847,49618.8074436556,19476.0820559381,0,48699.9919741593,25423.9142821378,0,1410.55908838286,0,646.149282692461,77746.273732125,27992.8832293026,11628.882401882,0,55509.3259216698,15086.2994618675,0,0,0,184855.289053927,8725.69568213808,0,130439.181976087,0,8340.90530712163,0,6501.72155845886,0,34081.1707010396,11092.0558357474,0,0,23581.7314654554,0,186270.306826255,0,13764.7132434365,7965.0637008745,94973.952545455,8590.85405549384,9053.18179585441,26431.7173198975,0,0,0,182339.683100622,0,5997.2700919961,43610.170351759,43963.5663639741,4707.45172972612,32441.6672984374,17292.8114326286,102215.270989886,8658.1933413643,74780.64182762,0,9955.60618530378,0,0,82180.8393093796,0,47805.4889402994,105321.86441533,0,8468.0824567729,25861.5526691159,0,7563.65961178769,0,0,0,214052.229255407,6116.85991276736,122150.231291066,55707.7040488164,8266.18964274458,0,5647.24211823615,1952.86919026668,5045.04664289177,16006.4481121487,0,10405.1462707343,2630.16658534703,6046.31977034109,143858.055019813,0,5286.81031095345,28031.1575069921,53748.5462445638,224824.189979247,3941.16610847764,0,13689.7629589689,45769.9111232775,0,0,0,29522.3724999968,46451.8722248378,15331.8735281578,38795.3015421876,22690.8359273033,0,61123.6612874909,1211.93441534291,0,105827.550074753,7093.22305756041,51180.5669837056,0,0,0,0,6747.82990716849,18418.4382278746,19179.8259264552,21813.8735502483,20439.5409123246,33111.5611062259,59793.4183939478,0,0,15419.5734894099,30480.7359422065,0,16835.6491758278,0,0,121187.520652564,0,0,37795.2065912311,58486.9171674487,0,28593.6776209624,0,50307.7175854904,0,58083.5412877321,0,140200.158684763,33836.4015311049,0,50416.9121425186,17851.3278424968,207494.153355253,0,0,3825.15092199175,154993.107663253,16041.9807468579,0,18542.5792993468,7870.72326306069,0,4908.84100884931,66467.6052698278
"BI_COMPOSITE_SBS62_S",569577.574304775,0,113297.949499464,101872.906100426,67087.6871560517,482457.321620152,55270.2822247209,0,0,467241.563753847,0,47898.6325943678,178332.821488577,0,0,91754.3535120467,117362.9089756,0,0,0,117293.028883068,40672.1172620039,0,0,55077.384635224,312988.488972366,34287.4099520253,0,189873.326734528,165251.212688885,40066.8958473489,267449.215901202,215469.951507479,74777.880341357,25418.5172975516,77276.5718239966,58755.8025991151,258409.520784009,212582.253015023,315468.824877132,0,114339.447111185,183234.309687543,0,119251.459223876,235226.396785637,73764.9392233542,0,0,0,0,315717.568540909,0,252081.270796431,246164.148720533,61836.4950903576,148130.5439769,358568.575318876,228294.342218583,0,72224.3817178429,0,0,219962.988538267,61123.6682007874,88110.6298246606,0,35668.6206885397,0,30708.0259061154,0,151329.177531112,44201.009804697,38116.4842563192,277840.208948517,75268.8861185582,0,381491.428485403,95801.5357865586,198627.435216055,35723.4932078103,359260.774245,0,0,291995.979558904,0,232842.080207679,0,28569.9041286007,116520.62458534,587497.925340045,198985.530497423,580083.169834926,235646.495620606,147787.862527505,0,32722.9092593238,0,188534.713214752,75160.6300213561,582851.493461143,165845.918796462,0,246836.399786831,0,88282.6582164799,66998.5111853252,195442.459960865,88623.450615214,57894.1631233694,0,78115.5424968949,281874.536639752,200120.431784772,260964.322271232,0,181306.209767933,166430.095011822,0,73382.6040203732,0,53787.1116780672,51301.7142431425,0,0,107522.029703877,191447.95659063,0,0,452629.226037849,65743.3595910129,173393.220523034,248242.560908092,135408.310115497,0,165200.88906878,154509.115118298,157535.064904571,40773.9216329488,0,196977.583355601,224196.53238826,226310.915815883,137009.352081135,281351.148531807,805858.676648744,128983.498911122,47163.1257939867,0,63449.7864370692,254590.870034213,0,85426.866251498,81466.2593583835,0,113271.499981422,108479.589583047,263330.581053345,0,0,0,1419906.24405677,713229.523612358,0,0,0,383567.62457958,339634.915301614,0,0,323386.835127805,0,0,273638.497485102,0,49563.7853896956,410296.977449062,149004.33709552,0,116048.560355944,0,103585.947817951,633805.908485623,72423.1130681878,0,0,0,0,81765.282019772,40196.2327153014,0,54143.6129669614,199743.590053221,53371.1490442628,0,150384.68438767,289068.080433356,638389.547499995,289368.687072767,366769.029278622
"BI_COMPOSITE_SBS12_P",58.2008651031526,0,124.162695504869,679.33867729571,1006.86550920073,208.600926427812,194.912048762111,545.664319225818,0,0,0,0,0,0,229.22721619648,320.954144256001,448.073796116364,0,0,169.645040848409,0,2552.7306813083,325.982743458349,0,0,0,524.383454989084,366.563383941537,4398.16615670955,145.67077883828,0,0,55.7256650537959,553.884989252623,1402.57569425092,1666.36796633855,630.658662303887,446.543892663046,0,0,271.606368026147,833.520763986944,0,0,976.973619893039,17.5902540086863,665.192063344905,486.942677209672,0,0,0,454.758237441643,0,5653.51091573719,0,459.958388410059,0,1462.90106723562,0,2545.0639093113,0,0,0,5360.50743464741,2903.61092692329,7024.41470061567,92.5578531683466,0,277.896870533348,412.522857113304,0,117.435468144896,466.949032391556,693.607069218393,0,1193.0258346159,0,1207.18632464548,172.863495768302,1982.64513796115,283.570185082623,555.174440885724,0,0,363.512288041113,387.717961732321,0,0,3730.10298716499,121.16371841832,50.7907893998563,0,1548.7993258304,2415.64364375275,264.010273877984,0,0,509.326485485261,161.699358515249,0,274.226584029456,1073.58585178232,977.704839843041,1311.09807790979,0,10303.2981377319,630.148885239697,61.2228372439303,868.336272890793,2226.33098218669,0,205.060958756366,1480.02623370903,1130.47156429877,314.384959705794,384.078444616529,0,435.271471259051,1003.91552186694,1717.35348643054,123.762297684185,0,842.862965731892,0,1814.02789799792,0,1448.29903351002,883.407861550404,0,468.814801208886,0,2436.37334090861,700.715549462473,575.356535906276,86.1960362883015,394.2986140161,294.011364680439,0,0,0,516.72257056005,658.366601725652,248.187024197216,1987.17943281654,103.445165795773,843.328518517518,145.367851890466,638.09698077411,1863.52546167385,222.182471424914,587.142116428091,65.1959890965295,584.963311984423,0,0,1368.13279844505,341.705082168149,2282.78085268778,0,146.720258857802,283.800595543102,550.4438567306,257.741621375693,199.349086486263,0,0,0,0,0,0,46.2300650835443,1848.28516550269,676.705591857345,2964.9226165204,0,0,346.482190765766,1732.41506250336,0,1486.64445157396,0,3440.7819870263,0,290.492289273776,786.33437850102,1104.123554861,0,2632.45922914771,537.936328285663,4133.55875107395,0,686.199217650269,282.970039131956,194.238497759818,967.899908397383,961.677691976251,611.956558468969,0,74.0862790989728,785.388486020563
"BI_COMPOSITE_SBS63_S",0,15996.432523162,454.416399390449,210.323811898791,0,10225.4578751479,5725.8268705374,0,184.814555039824,0,125.193704224527,595.071597467072,373.67276739068,0,149.837281837613,8526.45005947747,136.969799288185,0,0,998.800874424001,0,1003.77557839456,1242.27532213588,311.716762595461,1425.05873578025,3995.3623043035,7562.82574022598,716.756868132202,0,62849.4184141573,9.53546405746249,40814.2288776825,40412.6154003652,13994.4651320405,0,1063.59030528389,52.4970746333454,1539.69944515364,1703.02839721645,1362.94512958626,1611.56878152736,604.854326384756,61.5848306282271,1890.20960281044,1021.12243376362,1245.92151337169,454.723849795338,24586.1547003204,177.610097963126,0,1060.98349733196,2654.60927341206,4776.21092615431,1015.28363307051,308.245264924361,0,0,315.70721843146,0,0,1706.92874784979,0,3055.15354061499,1020.58901668372,262.351709224541,0,0,2431.2216931858,0,286.939776515473,0,221813.622356762,0,0,1453.41196530726,211.623781128633,0,0,1041.00210723395,0,0,0,0,0,0,1422.83769740842,1139.48387636546,5500.37628313995,112.017948983336,1405.06620292303,59.4584463151599,0,77.7123110507741,20.6980139578375,615.161775605769,0,779.253596547985,136.629814152182,168587.896053609,5270.39450221078,0,0,1110.09338679863,107.151645637068,0,0,5251.11810764975,0,415.022242405472,792.609213230062,0,15672.2637398936,29791.127072461,81.1309253787793,1197.78184572629,2372.10649193555,10191.6205137255,0,0,27028.3558567055,0,823.365980295304,0,4782.04016566209,25528.4915798151,280.225962540062,125.554417573568,73469.4071332157,0,210.642162973563,227.231824093089,0,0,43291.7943172244,7303.38300167453,0,343.471295717812,0,4327.31944613623,0,2117.30618337726,95894.2871655603,535.77797066741,62.34164166657,21233.5722565306,8.38553645903051,0,2373.71942313471,0,69246.9580582631,10994.6704082476,0,10855.9868873504,0,0,0,828.040673745714,2733.98401007913,856.713928824838,0,0,641.301201760722,1725.12652554766,0,223.768771984785,0,0,39259.7820596941,8424.91270838445,0,0,3050.8370690362,0,58.4094946765875,0,172.862151541838,23342.8006046518,1412.71468530527,0,23805.1939246422,0,2976.6890638701,0,440.276295651407,1377.54099075449,0,2076.10715557928,11509.9292593653,0,12945.4286617911,2239.85969140101,19185.788591122,344.035277159182,124.112416545994,13028.1851794446,0,0,284.50820825785,644.551916999084,633.192057400561
"BI_COMPOSITE_SBS55_S",0,0,6951.89167129524,0,34.2822530949517,55.7253839560111,75.122299552169,0,0,889.377001683489,0,194.110318586134,232.589513341374,0,350.361880067074,307.967594195862,261.033493907234,0,0,377.00504628995,0,17.8892304776721,96.2283130556427,1155.94768883048,218.321032377226,0,0,121.806411261055,0,130.393273852442,81.9636506267088,0,243.568770966307,0,0,5330.22634749497,84.0286393435153,154.920807432675,224.931071469661,0,59.0974707818761,337.072498524919,121.561118985692,776.471587636269,0,31.3109295635293,154.584512804565,345.83395822863,0,0,295.018134113421,758.858179941157,597.880698408989,40.5074641179684,0,0,0,0,218.68719309797,1345.33511923672,68.0047409106695,306.455048126919,0,0,448.522327199189,85.6221958959499,710.731880995649,149.30828580617,25.2548906149887,0,0,479.622381905866,1867.44195558432,0,0,248.410098629711,0,0,0,1670.68296525297,71.3385030866832,226.824542709493,0,0,167.86841767119,145.481175977655,3372.97101394984,231.509628732749,87.506514245552,1620.63053265921,92.2807998811025,23.3859666731175,297.920254191844,0,475.337470566083,0,37.7458365320973,0,664.093390951427,442.738617769575,285.118966020326,0,0,92.7151077378526,327.097699253223,398.262919229943,398.698418759193,0,370.451915467172,617.260806240466,0,157.347569283833,361.25459527145,173.775760040241,112.384712199052,105.403770829057,272.167701716788,793.926720811914,0,0,0,309.651660303717,80.61264941512,536.528984503662,216.145115713674,0,0,0,0,446.315331299825,191.062981873098,0,446.3045149628,1088.34038903862,0,128.28138889191,129.586395392729,0,411.639587488905,0,532.795233726425,0,226.439416238959,434.92783316641,51.8159034178543,119.533555444023,180.972386561366,172.270666251946,1040.64497852599,16.2699115746801,0,21.1278010523014,0,0,133.382129081746,0,127.516836273214,379.026153268444,4606.93101595099,0,0,199.171669344137,77.2986878047112,0,0,0,27.3518342821149,564.440852567109,0,0,0,0,137.485095212694,217.061908822844,0,81.8491897773188,304.430060118666,0,0,1033.98020152606,0,90.4176085278048,0,116.687779627082,0,0,0,390.327168131176,407.333771592949,62.2248126523509,242.638658287776,170.669182694049,0,159.271862162047,0,0,2725.07056871135,0,0,705.317543326483
"BI_COMPOSITE_SBS71_P",167.74127290318,18.2279468139783,410.785384601202,52.5958215977215,0,10.373236009379,0,44.4565810908608,0,102.584606522686,7.65585261864392,91.6957571343579,0,52.7967897242515,8.36734860814391,830.58457075204,0,46.2245775562346,0,0,54.6029140866709,32.0234732309855,19.4011282618188,0,0,0,0,0,438.178752655975,107.878587566883,243.728294603645,29.8198373476919,19.9843816864005,5.61759863145496,0,17.0790395868481,220.233910154238,68.8336182633118,0,29.2639836111194,0,4.51147003673207,26.3260719003078,27.0991818664248,38.3857540627607,96.2105134930344,0,8.87513197608493,16.2745331847755,39.4814920644813,137.37031977583,11.9846915318825,0,58.4188209117902,10.6227470406606,425.221325141481,0,56.2891932281405,0,0,41.7381530466226,247.529813511392,0,42.0090080682934,147.294239808907,0,375.447023139629,6.4000909556065,0,44.9548021200598,0,33.8001054007025,21.5687598850172,2.65607823279606,463.136670832176,0,97.6692421561456,0,21.1109255164654,41.3916425817125,248.983831232896,129.576709718202,22.3359293554508,0,577.069899361025,0,81.5672729635517,3.10401195106444,32.6273210383289,0,0,2.45165455266021,47.5441041032442,39.7213501341599,0,43.5122164821936,32.0840598294035,30.7881648232602,11.0658256455248,121.377007448607,5.32020615312213,136.191505588364,46.3295681721442,180.643671869847,0,0,6.32359950395174,125.620655296801,0,8.13612371964431,0,101.059850536691,5.15169916049923,24.3951269914177,13.7580627560365,20.1050468271502,38.9464659277661,5.17476670430749,0,171.187522281001,0,0,0,13.0359618921095,0,0,73.8388206919472,16.0790863272232,2.24380021530694,0,0,13.3695144109015,0,70.4853777013547,369.222091071687,79.7114484888566,106.714582876294,0,46.7268004801862,148.323730276115,67.9392071362386,108.792165399762,18.3928862424866,53.4794601631121,32.5098678913492,0,0,16.4019348512361,0,66.8694548822121,472.751428404665,0,89.9771012688841,0,0,0,121.360289820899,463.262630617842,17.2935993257477,27.1856144169064,0,49.9046258284219,56.6105772915393,0,7.73685878308542,0,315.21669657713,0,25.7071316349734,54.8267008135108,0,7.00811913252783,17.7561938040251,164.645847377289,48.6166849084675,84.307564764004,10.0323341830075,0,9.96918772330059,27.2210760702284,0,17.299114104298,0,5.76779568739259,24.1811704919472,0,94.9719413448984,0,18.7689737747628,77.6140466791412,80.6705837352992,404.570986687553,0,8.60362438112073,18.8237048061413,0,0,0,0,39.0717816185305
"BI_COMPOSITE_SBS38_S",260.151939624205,92.7754681146871,0,376.285724097466,0,55.9925289042227,1459.48722058751,986.689785542847,1855.52286430716,0,526.157989218371,353.213410014351,31.8783248133293,148.906029198914,693.784921305857,549.245390975637,143.651871037365,81.2614958733828,0,114.013804235554,0,49.9787682567865,1967.13137113771,20.4684151255721,0,299.294954317268,722.09632514437,188.480697271362,439.409151655639,0,0,0,2416.1098634431,329.450319623397,0,366.808534121003,411.198652144691,72.0696407892429,127.904157375467,43.0292513868271,0,458.584673405149,0,102.077550699038,252.649036674046,536.787514516493,0,113.80464323276,0,0,1152.38781251982,315.479325509389,314.875511489614,0,2120.02780948054,24.1924283619695,0,82.0996671870512,0,799.467215012515,651.345596398823,776.989616053055,108.195163467059,1011.53835483361,598.767110342206,383.785882302358,184.78817049235,288.400112358521,173.637709627504,0,0,0,0,0,200.533683241514,18.8889041834531,0,0,195.546567525372,0,1296.11028211658,6389.37146576747,0,0,873.816883932554,731.148367835092,702.312533997089,0,557.203153175427,0,212.387555538412,818.851364982018,403.726369591273,1145.34078343495,291.707251423712,0,235.490010583498,71.7837310092078,117.925155043326,411.478292116729,0,0,0,391.178586241744,0,0,0,285.491534921364,652.228554107797,256.813674304216,0,1274.83626889028,207.581255035656,92.5643481947267,503.812948704233,0,567.8144508186,1001.38704886043,0,1375.26563966261,0,350.75718405807,93.3800004160326,0,81.7356723142648,0,312.656429187315,366.302310701584,290.030984097968,0,66.5250208863812,1408.33679943165,0,818.012699593711,335.474827607321,319.162050751294,338.352340305238,133.38413322597,0,0,67.334657251477,105.597750998032,0,2345.1500000341,6692.46996074726,2389.27762099835,242.949688210874,1644.48258464998,0,167.673416955449,412.920275368325,0,42.1413483105849,0,548.08776297221,0,532.293604988151,88.8856172815581,243.389366418265,0,195.385492598043,1037.95456149226,449.626656649645,121.395809806377,812.590667537446,705.207791275081,127.746835814753,189.576352957027,0,0,0,360.350211955704,0,608.065614130094,0,232.444114111489,643.667399662045,1388.10927116475,0,72.2372426587016,642.018015808132,416.594275808557,0,158.174674921138,0,0,187.476444956073,0,1001.28943574341,3369.76316205099,0,147.787319252024,83.6017553283162,333.215087330933,0,0,309.787153369474,651.73939242744,670.049705452787,144.746082225637
"BI_COMPOSITE_SBS66_S",0,0,0,6904.080612103,35427.0410642781,57687.5687044988,8771.44761572791,7549.84316503117,0,0,0,1967781.87917752,40390.7654964349,0,0,284073.892191894,13083.917278255,526489.102632163,0,660119.757968469,4092391.59438335,41796.4131510848,1266099.98444881,0,0,0,1142202.74489128,0,113450.47675453,48519.0692033781,19579.3888853528,91079.4052893887,1764.59008765351,5316.50318535788,0,6551.1043496747,111046.616391636,2822.35457870006,0,344819.936884376,92992.2037762123,85896.8183381558,4923.97508042762,265719.142284584,2896.99030746702,0,224680.270432205,31468.3580198655,0,0,38552.8566730824,1861985.84008811,0,81181.1300544696,50125.9356248062,20040.8398325181,30206.7346971347,0,10604.9818197742,7313.68065740536,11705430.1949566,0,0,366658.21300219,74409.0684225988,0,4328.41966718564,12804.0313806555,0,39804.8933925577,0,25906.6200742723,12139.0151790629,0,0,0,0,0,7445.62724221283,697317.680961136,80238.9924999829,31001.7372295282,0,108249.910897466,14808.3420203978,24762.6411385084,146446.417102054,312932.996988233,6254.08695939713,0,12434.3403378625,27349.239954855,522550.105049751,1234.16602796337,7818.26386283682,0,35212.5834237173,11461.5895676662,7198.04279864473,0,0,0,0,5369.30730598557,0,13808.6008193808,29899.9419327864,47031.4212145224,8675.2816367622,152232.469786617,133028.868012529,152551.206052284,4131.93533192417,28610.4001633837,19339.3863121012,3483.79449378768,1425437.07956827,134617.544245994,0,38638.10057002,0,0,0,0,1115547.35644546,727125.767666869,52751.328900914,274300.663381154,11078.4642886805,521848.765711984,0,0,0,0,147347.499149901,17015.5146891013,1191559.32281715,0,64290.7253967317,0,2309.59081880658,0,200174.593280676,4353.42349054251,401316.296061183,2070675.74856624,15767.9312689688,57471.4675092977,0,0,1563.39837827178,0,0,255135.076621694,1064659.75870543,86528.0388192415,31553.1329137742,4528.03636592229,12355.9810647305,60823.6874982992,0,63273.4958110376,3040.89006863275,312044.968736978,0,76535.7891020812,109543.532473671,2227223.12389762,4500.88522626124,0,0,13348.5221958522,616408.469924102,503261.025898306,0,0,353922.754208615,1178.36807943088,0,140348.052948821,0,26916.7730047351,0,110.208360872015,0,27525.2125140752,1226.37291335004,0,67387.8096216352,6811.27508369078,0,32444.2927257574,7071.67881128462,943427.619670826,128749.89985522,1519.64817959908,0,19395.5421911582,0,0
"BI_COMPOSITE_SBS30_P",314.144256532919,0,0,0,0,268.319074409705,0,0,0,203.486064382831,0,0,291.086365167972,99.3057640917254,283.517803504968,0,0,0,163.6060032895,210.537427026479,457.593930065354,0,218.626962977079,0,0,0,675.853101130839,0,0,0,560.922539134746,0,94.0771167458923,32.5768672228016,233.951557918092,1135.83007794811,90.5115950338478,0,621.866073367349,0,0,38.4154002254193,937.896453461399,452.021751926462,2192.2799120372,0,4373.20938092694,208.45887464087,146.36684936427,1014.52432958231,147.353199571923,0,794.074794877773,520.274866935303,1165.33029145555,626.243384091519,344.502027794527,520.423364844287,210.687241581056,0,444.395940807564,36.2626254278081,0,0,775.549286830768,0,65.9330237220778,470.356289710696,0,0,0,397.158510631503,1564.1356658117,259.598969524574,0,202.869961818897,83.0709010061133,271.884030601132,0,0,349.164558919065,97.9178393127715,0,0,678.228974070498,0,105.008827054291,373.211472980107,234.195160944226,69.1892426881604,199.185944925203,326.171895740207,284.120230047959,200.313285224897,1249.41527035092,0,3852.05144794033,76.5358019151348,389.410589608774,572.460982276255,0,0,0,0,833.949295666184,0,407.842480730523,444.607798062399,0,124.218296274256,0,245.447050046172,166.247355895724,539.418307521045,408.339558765981,0,0,204.567405175,4241.14306745412,200.493835120401,0,0,174.943811139479,0,0,0,222.450140510519,441.892491700704,0,0,290.38132612732,0,0,160.978450613124,0,238.234587998334,64.6325872420072,0,548.677969728853,0,1651.54730882073,287.876303660907,142.119610804651,0,258.050350840579,0,0,586.473834536341,0,333.324574400004,291.158226286475,174.372332725003,186.363805471929,0,0,120.76517062078,85.4952293564991,850.389407179836,361.777444791141,0,501.629361557086,376.42072524415,83.0107794517245,0,0,828.908187087993,218.847239905926,381.983962963792,254.222772547764,0,0,1031.98113867898,118.368034959341,412.283197581035,44.6278774942098,448.933300204947,63.3411428731668,430.270008454811,0,2205.51603439439,0,763.796878678088,0,139.200714958503,0,760.50792239219,123.51250180391,763.522487031957,125.477073854309,387.845687974752,163.690491237039,0,224.227739554723,520.572586175848,117.295445711583,1207.78304510522,0,227.457361201873,0,114.496739945972
"BI_COMPOSITE_SBS79_S",0,2891.16205809986,0,623.939953102739,0,521.132921809849,0,6280.28037882804,0,1617.05598599867,7880.07594773082,0,0,18558.1154661239,0,688.584911752207,365.488594865127,0,0,44443.7838854318,0,0,60.7233354818724,0,0,1470.04497505347,4548.73749241977,13820.4828866857,574.394866747035,0,0,1494.2373819689,15947.1087628748,820.78684852772,0,99.9314620351432,63.4402948091406,393.400522284425,1166.41121965433,7704.91047080859,512.584135331858,0,82837.5946473898,6411.92344426203,155.82463933351,1535.86138604398,17154.271917629,3292.85319163826,0,870.067958489602,5019.35199801057,684.042128221864,1172.46872524663,13330.623890389,2679.38771093727,0,0,3810.94360984827,0,11403.9038412481,3633.19296382951,9411.61452836732,0,0,11639.9285709358,6524.58393555559,0,0,0,0,3263.81083706497,49670.9441667538,0,3697.30409342505,2071.85341836258,0,0,0,9899.95629345721,4284.63258288553,1230.58650933851,5531.82155677065,882.592458737645,0,266.123206500616,0,612.53178176154,0,722.99920207936,0,297716.034978856,351.185972811428,20874.9301960833,7181.72855241999,1208.8723561904,0,5036.5286828818,2438.57422913733,2007.6519434789,6898.21233113201,0,7035.72308418851,0,241.818434083914,0,19524.4102065584,951.324381993378,2450.21029553616,0,104.572680049565,0,77.7214918109794,1426.2320569968,345.096300260419,41467.3641002052,7560.31229922092,4419.40696180141,7168.10388611437,20674.3697720035,20880.1532133165,0,1622.13145941972,54626.6170096368,0,0,0,1019.50417006769,1530.12923041696,1851.09818656186,836.103814033607,2381.59616029035,755.629143985805,0,0,717.404580999453,22775.7434856104,14990.5322562628,0,0,0,272.326077722507,763.041919273643,1459.45115622202,453.679564849977,76.5751997768089,1693.2173261631,16500.3295110496,1109.78541438316,13216.3615388946,0,430.145557811141,0,748.668978057002,0,900.799505144157,177.993686744062,6287.3782347951,1636.59104909903,3121.78268383831,1354.74175469637,2896.85824599758,10365.7898633273,1675.39356662926,39205.3289216225,0,27343.8545205864,1889.12755152043,510.805526149348,2143.81868063445,7875.45136253752,0,1206.42522032922,0,0,0,0,2155.07106572422,733.809429834507,0,1159.35296258001,0,7444.69492186851,0,2055.40691324751,0,0,5539.64800430466,7592.08347429511,15573.3167659623,812.82179511505,573.161985416684,0,4358.27155690944,1794.29461617414,3517.18073565897,0,11157.4286011042,0,1520.23524175965,17277.4108682898
