"","S1","S2","S3","S4","S5","S6","S7","S8","S9","S10","S11","S12","S13","S14","S15","S16","S17","S18","S19","S20","S21","S22","S23","S24","S25","S26","S27","S28","S29","S30","S31","S32","S33","S34","S35","S36","S37","S38","S39","S40","S41","S42","S43","S44","S45","S46","S47","S48","S49","S50","S51","S52","S53","S54","S55","S56","S57","S58","S59","S60","S61","S62","S63","S64","S65","S66","S67","S68","S69","S70","S71","S72","S73","S74","S75","S76","S77","S78","S79","S80","S81","S82","S83","S84","S85","S86","S87","S88","S89","S90","S91","S92","S93","S94","S95","S96","S97","S98","S99","S100","S101","S102","S103","S104","S105","S106","S107","S108","S109","S110","S111","S112","S113","S114","S115","S116","S117","S118","S119","S120","S121","S122","S123","S124","S125","S126","S127","S128","S129","S130","S131","S132","S133","S134","S135","S136","S137","S138","S139","S140","S141","S142","S143","S144","S145","S146","S147","S148","S149","S150","S151","S152","S153","S154","S155","S156","S157","S158","S159","S160","S161","S162","S163","S164","S165","S166","S167","S168","S169","S170","S171","S172","S173","S174","S175","S176","S177","S178","S179","S180","S181","S182","S183","S184","S185","S186","S187","S188","S189","S190","S191","S192","S193","S194","S195","S196","S197","S198","S199","S200"
"SBS21",8801.31830360867,89195.992255044,16421.0804809344,19505.2722502752,0,31298.2129805222,0,0,18653.1573700372,35601.0497896192,44814.449571556,70237.1044769991,14966.0572464731,0,0,48227.1197757701,0,202056.685666981,0,0,0,0,0,31930.2195955033,0,0,58464.1328438071,16582.4640889034,0,92164.966001909,0,0,0,21258.3176182882,0,0,25934.9469446888,0,0,75841.2632733672,72581.9495649746,12041.4888628675,0,0,0,31373.9675879016,0,0,0,26877.5519839955,0,0,0,0,0,0,0,37681.6502087163,0,0,9019.49889252756,0,135050.299067482,0,0,39454.0292255138,0,0,0,28488.4418028703,0,18346.7114958553,103617.93747933,0,0,0,19750.4438866617,0,0,0,41666.6414620897,0,0,33573.0353117192,0,0,0,0,0,12610.294002401,83049.139632318,0,26247.1014824667,0,0,17422.5624353445,0,0,0,98682.563428474,0,28753.500390445,46511.8312170027,36797.8761309456,0,0,179980.197088849,0,28442.411779996,0,0,0,0,86651.9868850176,0,22822.7678770285,0,58472.5763462196,55112.297162457,19327.0196200668,11295.2356868633,46374.1500758996,0,62872.6536852666,60047.9051827595,33612.6337709178,0,23889.4303887215,0,41906.2631348695,0,0,15508.230774643,0,0,0,0,25608.1523126185,0,39933.3463288871,44148.288017167,69320.9278950745,0,0,12543.3659873655,35805.0742668631,0,21945.9552001017,0,0,130520.149793346,0,11101.2221689039,0,306740.720297241,39243.911251199,0,51817.6950028358,44063.1268495807,33977.5314678747,43813.0314587477,55579.3479149047,128728.31657583,0,0,18948.4003181076,0,0,0,0,128103.758709891,69784.3591862207,0,179648.713305424,72584.1383418537,0,6295.22365511319,27956.7175692357,0,0,0,0,64287.072376722,0,0,0,20893.8450308922,28829.7704080991,0,0,13388.5242149711,20900.6876364512,0,0,0,0,0,0,0,0
"SBS5",0,0,801.412067182147,0,2117.27756244102,229.672403178042,0,150.469631866832,494.745164430648,0,0,2401.58374160169,6802.50492152055,0,0,0,0,0,1737.82800434437,5942.52637274179,56.8603676703056,1845.32366026076,0,0,0,0,0,0,53.2828585146235,0,306.211200584331,0,0,0,0,1195.75143866037,128.668929352585,18409.2762572301,0,44.6425881976558,0,0,1620.89449724395,0,312.022545264356,0,0,3747.12245119114,1649.00838553624,0,66.6668634261394,7870.67660120101,362.750626041594,0,0,0,467.808618974492,2075.98591477524,0,0,63.1338505962813,0,423.738429983466,0,0,271.281488191841,8583.44339042103,0,4439.41551967429,5069.80077624688,1563.4975225502,1039.6170846379,0,0,0,0,0,247.54495627922,0,1019.24192642745,0,0,2759.11767964848,0,0,468.186107589624,594.376016447192,0,14892.7352053593,419.66407944017,0,2395.4456587894,889.637795578121,0,0,4225.72880487628,0,43007.0776685655,1359.63667529926,3049.85012190771,0,1969.90598911439,4302.44269588367,0,6265.6809301377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4167.09735828354,677.829062363751,477.912322688659,0,634.579151552609,419.025366177383,1481.50797141496,369.781775648848,0,0,0,363.208388159371,0,0,0,889.37409181545,1333.19486971107,0,283.337232386102,0,13925.7112848581,0,0,357.712570950866,0,0,0,0,424.461460975517,0,0,146.415364521492,0,0,12752.6088417537,0,0,0,18405.877839674,0,0,13761.1228469559,0,0,0,0,0,0,0,0,0,0,0,0,0,413.650736748201,0,0,0,305.021525801082,0,0,0,0,0,1277.39646804681,0,0,0,0,0,0,0,0,0,0,901.456470675285,0,4856.02590559795,0
"SBS41",0,0,642.648981432071,421.704119111434,0,0,0,332.719647079462,0,0,0,373.214067565501,771.235712799678,0,1442.1330166234,141.928412200459,1286.20553355939,0,497.319175098287,0,0,0,0,1231.46999240659,0,0,0,0,1210.8336505981,175.534606591419,0,0,0,0,183.917272874729,1185.77241308817,0,0,1848.21390973737,0,1202.61274652322,0,0,0,2211.04254853396,0,0,0,194.088544258968,480.724438177621,0,0,0,0,1844.85786750094,0,188.133957407552,304.036571200231,0,464.389868288153,0,0,0,1933.76688484416,382.641915326102,1372.92489393728,1137.14849993565,0,691.428629558098,0,420.045581756433,1519.20595305567,0,2476.84250216777,0,1141.94601950206,0,256.401693455564,0,191.584172347224,0,0,440.470524349133,141.005539727167,0,0,0,0,423.614049925604,0,0,0,0,466.074377713029,303.306446177992,0,0,0,151.791026132501,888.252621626638,481.834989515644,5349.72590040775,0,0,0,261.038765562353,0,681.45852851828,0,1499.49454241648,0,498.315765693947,215.067834238012,0,0,0,0,0,0,0,588.619948214348,0,0,0,0,0,0,0,1339.55408621108,0,553.092040952764,1600.26580372617,2275.60837915286,196.731943852542,0,0,0,0,0,0,0,0,0,0,0,297.102027432635,0,0,0,0,0,0,0,460.108451246371,4272.46408005045,335.935764028947,0,0,0,0,691.387022494172,0,2477.88194761681,0,0,0,2330.33917266693,0,663.894108062774,0,0,412.829556771406,891.77305924114,0,361.059217449288,598.858196834397,462.107009244108,0,0,0,0,244.532275122143,90.0939383308859,0,159.129759081907,0,0,1970.02061834931,0,606.506909336058,0,0,830.934328127613,0,0,1260.95080098974,0,2234.67702362598,0,66.0337937380366
"SBS3",5518.31030925244,0,0,0,0,0,0,0,0,0,0,0,0,2582.92652296698,0,1829.09310102494,0,7805.82194834597,0,0,545.872211353703,0,0,0,740.567764146926,1303.73513091642,0,0,0,0,0,0,0,2716.10650619477,304.08027497525,37227.3074746976,0,0,905.542308509718,2732.22024813842,1173.57892878593,0,3483.85969129928,0,0,6781.37843185146,6932.12851853368,0,0,607.695920833182,10425.763432848,1691.49166646061,0,0,0,727.441276949298,0,2005.65653201017,0,2135.40382790245,0,0,0,446.405518159875,5376.64295858308,2523.87240055473,0,0,3304.00846605847,3254.06101267434,10511.280099409,2230.63920313828,0,1160.27394265965,0,1539.29684236864,0,0,317.770864071563,558.056307540694,0,3449.28326859717,8870.13001825376,0,0,0,1869.9262211778,0,0,0,3593.10576734858,0,0,17588.602086033,0,5244.00198085824,0,0,0,876.93063217105,530.785816118093,0,0,0,7807.93794643736,3809.40266994717,0,0,0,0,0,0,684.976671325257,0,10104.4821745578,2848.49081722882,0,0,2220.79444801735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1650.82195737771,1486.14329892513,0,0,0,10371.0941121599,0,0,0,0,1807.82010155453,0,367.6885873772,0,0,0,0,0,0,1862.61321970564,0,8802.35310185529,4392.15078493514,0,0,6786.69779520334,0,0,0,0,0,0,2671.93209562826,0,0,0,0,3102.37990394407,0,0,781.88405522731,0,0,0,0,0,0,0,0,0,0,0,9470.99849301046,740.088346127637,0,1108.16938578445,3377.54083222954,2545.46958964264,0,33703.2604099061,1328.2693609937,7857.59926733504,0,0
"SBS24",0,0,0,0,0,0,0,2650.77052895804,0,0,0,3694.12914665254,0,0,0,0,0,3775.12504396651,0,0,3296.23071432767,0,0,0,2293.90185463381,2555.80153249426,0,4915.78790645892,0,0,0,0,4125.01763938167,0,4652.5324966587,3342.53285316989,2526.16689024877,0,0,0,2623.3974083362,0,5077.54194990211,4217.02440400871,0,0,0,0,0,3508.67351230532,0,0,2506.73315784989,6505.32537176795,0,0,0,0,0,3779.26999192505,0,0,0,3069.22494959314,0,0,2208.22114455208,5898.04018945814,4881.15785791036,0,3829.34824700512,2960.38762479038,3662.80305359365,0,2567.06380798835,0,0,0,0,0,0,0,0,0,0,3197.68697892515,0,0,3479.42958687681,3403.40702051437,3312.13938996685,0,0,1961.51142735809,0,0,0,3247.94344299779,2847.16523786198,0,0,3833.9740194161,0,2247.5097294486,2761.5065923417,0,0,0,2880.44786376251,4486.24518334123,0,0,3061.06270962972,0,0,5025.69820249511,0,3176.92248845292,0,0,0,3807.34734842696,0,0,0,0,0,3161.67306704517,0,0,0,0,1859.87486913635,0,0,2155.80135333012,0,2394.59115334758,2665.04861636653,3286.39003343684,0,0,4060.1352913244,0,0,0,2356.82415556435,2920.21285128808,0,0,0,0,0,3320.86635890351,3729.63259515862,0,0,3934.17353368565,2634.31471888873,2253.03371979139,0,0,2547.90928925123,3156.25890861125,0,0,0,0,4235.57260856514,3072.06922763738,0,2088.35577109154,2876.26579621749,0,4181.94479962788,0,4352.20783592519,0,3333.74299542691,3015.59867782917,0,0,0,2898.61366974085,0,0,3908.08057012752,2159.190487266,0,6699.46451787139,0,0,2783.18497048045,0,0,0,0,3131.34766700044,0,0
"SBS17b",0,2282.44704619502,0,2564.30580001222,0,0,8026.89885249315,0,0,0,1993.84541801899,4713.47848478667,0,0,859.554138179027,0,0,0,20015.54555391,0,0,4034.46857162518,8059.00182986409,0,0,207.716883468086,0,0,0,112.957999820124,3883.32881635758,0,0,0,0,0,1033.70776424703,3318.09742077243,0,1942.36621656747,0,419.650649713932,0,14757.6735961118,0,1602.79224551528,0,132.435525289977,434.593600232732,0,262.400485366263,11.2705323427246,0,473.486580434296,0,5326.49643033441,0,5024.94496311035,5074.07605302885,0,0,1120.5109498834,886.592453786804,0,2135.26816677479,0,215.411678419925,0,0,0,0,527.555463891921,0,3970.28370539064,0,674.32023909223,0,1053.00913472632,476.162802670784,0,2840.02920603265,0,0,0,1880.06357945041,0,0,0,1968.60540222248,78.4795629500347,0,1352.03800137085,0,0,0,540.225416855051,0,110.087041033248,0,0,0,0,0,12811.4286898414,400.854200541217,10716.9281602107,0,0,0,0,0,0,0,0,0,367.650279546372,7500.50752619723,1281.83895420135,179.868733621925,0,6549.72251283538,0,3360.43116864961,313.077911808013,0,178.356592340297,0,0,0,0,0,0,0,0,0,671.032075232907,0,8876.64789959012,0,300.234761008794,0,0,0,0,0,0,17561.0486402002,257.344440820676,0,0,281.121334910381,0,0,0,0,0,0,69.6432676752199,0,1172.39338216259,432.657436429793,0,0,641.269207834313,3489.39788677006,550.084430282187,1005.23968715881,50.5220157554252,334.425824940944,305.026141771674,0,0,3088.4562656926,0,0,0,0,678.272528102589,23428.7585044221,0,3235.57848748592,2300.28000932851,0,2175.91719821822,266.03365865078,0,0,1037.03000515426,740.312885298169,0,0,0,258.833916207144,0,0,246.579251313334,0,0,0,971.3391246378
"SBS22",0,0,0,0,0,0,642.540715640659,3475.38438118983,3798.13618231652,0,0,0,0,0,0,3621.91340365961,0,0,0,422.139774643629,0,0,0,0,23964.0614863422,0,0,1983.27549186845,0,0,0,1379.80206073829,0,1171.26011313261,0,554.679381589036,0,0,0,0,0,9674.00368852069,0,0,0,0,0,0,0,0,0,2548.54900885528,6215.34218735852,1837.41572644702,0,2202.60811035459,0,0,0,1522.19385164771,1958.25188117357,0,0,2761.92797856211,15527.9136405577,0,0,0,0,2141.43760893903,0,0,24614.3952668987,0,0,0,0,0,2772.95968745513,4397.84546742489,5466.6971872379,0,0,0,0,10088.0933392898,0,0,0,0,0,0,1850.44634928824,2512.44612906676,0,0,341.245231480779,0,0,2296.04714587579,0,8439.23356733859,5762.06513201433,0,0,19114.0735768983,2006.42794436754,10061.5870549394,0,6526.60970929552,0,0,0,2231.52415452045,0,0,3793.14216876154,0,6409.39821575905,3199.38408026765,0,0,1324.18621552744,0,2031.83788047695,0,2445.10094639443,824.387928281838,0,11041.7141091955,381.456134236535,0,0,0,0,0,1020.30716814064,9913.4826120282,0,7491.53899278013,0,0,0,0,0,0,4521.19858659834,0,474.445923256241,12137.1139756301,0,0,843.807782610836,0,0,0,3155.47463643228,0,0,0,0,3060.86618112017,2785.65700545325,0,3726.66526655259,0,550.340231319303,6479.35579942238,0,47157.6381955425,2033.57524500312,749.932702704994,0,0,0,0,1774.14192201666,0,5197.47480922436,51561.7387820491,440.647622366673,0,3242.9432611162,2481.46142771627,0,0,13800.3584501939,0,0,0,0,15380.8510969043,0,11730.9299113095,5901.54595299159,0,9482.23119569601,0,0,0
"SBS26",0,30923.4383147327,23538.9225227849,206498.233962599,0,0,16900.3548472052,663.015294065052,8316.17231425011,89854.5887667342,0,4035.09989020974,0,0,0,0,0,8872.26692317086,0,0,751.726712335729,3497.08520538447,5405.24247629676,0,1683.70553414068,0,32956.0467118561,0,0,0,0,12894.6798579635,0,0,0,0,0,0,0,0,0,7876.39523257816,0,0,605.316948876971,7711.39838848146,17822.5256029847,0,309732.828759781,0,0,0,22155.4127611049,18597.25651916,0,6023.50262508901,0,0,0,0,0,0,0,0,0,0,0,0,0,1293.32915826012,0,0,0,0,4233.19536568739,2580.05725069809,0,656.525319191938,0,60178.6251853646,0,31613.4639203951,13773.1253057731,0,0,0,0,0,0,14644.2957174068,0,0,0,17244.7951138767,73552.3041545958,0,1642.50270057478,0,0,28694.0190099204,0,10173.5355303833,3533.40704209558,1455.88594790758,0,10405.9814773698,11412.2216642948,0,50766.4220121051,0,0,0,0,10510.6293814913,4882.02783530021,0,3647.80520777327,20112.980809759,0,9865.62682111752,0,89189.0739761784,0,4449.500253026,0,45807.0916521635,0,5404.37649747702,7568.94858892073,0,2809.05538748914,40261.4133977447,0,26802.11847759,43355.2764186031,0,55578.6907960831,8932.21813630701,0,0,0,0,0,30446.7650822314,0,0,0,0,145760.14137965,0,0,3095.41336043564,1873.00738812247,0,1773.85188695768,0,3661.07925699373,0,0,9078.64232791778,2668.56557759053,0,52127.2094546447,88709.1526411018,46447.263478248,1343.76016824463,0,0,0,21870.6744343693,0,0,45934.9623051393,7730.41793489187,0,0,0,26374.8568512392,0,18111.7099738624,0,0,0,12849.0792869568,0,0,0,6021.45067008392,88797.6071969544,0,4763.5265580254,0,0,0,2993.75091780972,0,13990.2237720395,16355.7870899224,0,0
"SBS36",433.954954742898,379.675316174828,583.346310521279,0,530.775028415581,92.8361044451974,298.066165774043,0,0,0,556.157586989277,0,0,197.22063971888,268.97271218242,0,0,0,4810.66469593794,0,0,128.285372561129,0,477.523901469951,0,981.694226374565,3950.43644105688,0,0,1279.47372920039,0,248.21786018459,0,0,366.444784924607,0,116.491801886117,257.479663737544,48.8532099210263,0,0,0,0,0,0,89.4727439455434,0,164.951615241451,0,0,0,0,0,0,34.151540994645,0,0,0,190.994109862667,0,0,294.79626015354,0,0,0,0,0,0,564.546460074585,0,0,240.925046568312,0,596.262709961444,433.334462188094,0,705.951259736294,0,464.480284375759,0,359.177503092396,837.037280369328,0,0,55.260682083527,0,0,42.7269568250271,1263.15841302491,0,169.403462593742,278.042679765173,0,57.417341053398,0,0,0,0,161.405834681873,0,0,0,51.5485040788928,0,350.295874167093,0,0,2758.33883252479,0,0,816.274477042917,0,0,460.438512768294,463.180078557471,0,0,0,2568.95399111687,2548.61770297489,0,76.850216324656,0,0,156.227965063793,0,1009.33049910842,0,0,166.478367194464,0,0,275.087630287979,0,0,304.704383321303,0,303.253670737378,0,542.493786214202,857.314579313175,2768.24383107629,126.824191756518,0,0,51.5915805914844,0,115.073765049783,0,0,0,0,0,136.729791243799,0,260.266257926801,0,0,1036.07577440885,0,0,0,0,0,0,0,0,247.391080911241,250.996622403598,0,0,0,0,11.8211768231396,0,692.031904727422,0,0,0,277.34005837527,0,0,0,0,960.719122837437,2538.37701704763,0,4895.11165575921,0,367.414552722639,0,0,0,2445.10660030101,0,0,122.885115023674,0,96.3115749894478,252.044318226932
"SBS28",2193.3006031076,0,553107.07579665,0,0,0,0,0,0,362.126490372315,0,0,0,3236.26426444086,768.919691194521,0,7983.18672391808,182.724020175244,431.864326275704,0,0,0,20718.514202646,0,0,0,19281.1551566505,0,0,4520.13083156492,0,19023.0391457105,0,56817.319647701,0,112942.835054917,0,3222.98904374391,526.062415547344,570487.641590447,19.0975739824265,0,0,2146.27965990729,0,0,4.72504594756558,0,0,0,0,822118.805992193,0,8043.40211101965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62266.2771586679,0,3388.4148777175,240.154946662146,0,0,0,269.279224689494,0,0,0,0,0,0,0,0,96065.984402953,168.458798971476,11295.5750592032,12254.0941634027,9318.38203912691,0,0,0,392022.860629618,270143.293950536,957.954378081864,0,3752.32579265712,0,19457.7068940444,0,0,0,0,0,0,98.4439180511596,0,0,4084.66242736642,36945.7581255355,0,0,0,0,364.444893590636,726884.557758915,725.0922741843,6082565.56309749,0,0,0,0,0,0,21040.5688905772,0,14338.2753299216,0,12872.0540619651,31463.1791775743,0,0,0,4667.47741312643,0,0,0,317367.471049744,0,3060.45648123696,141985.458248334,0,0,0,0,6756.50228038807,0,6545.81590320484,1029848.09742766,0,0,253027.038315511,0,0,34907.1594630701,0,88434.5619850318,0,32242.6733973245,6507.44261506708,1892.55809444373,0,0,0,0,620.940227553362,233.116671469059,0,0,0,6232.54587482801,355277.242518993,0,0,641.607493484273,0,3666.62953096312,0,86.5194979887362,0,7680.51774628465,0,12893.214700826,0,0,0,35.4293648974747,0,262532.370291201,0,332.852603830854,0,265490.502625978,0,0,0,0,2817.02960228954
